,nominee_type,year,winner,award,title
0,tv-show,2024,True,Best Television Series - Drama,Succession
1,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Jennifer Lawrence
2,people,2024,True,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Emma Stone
3,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Margot Robbie
4,people,2024,False,Best Performance by a Male Actor in a Television Series – Drama,Brian Cox
5,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Alma Pöysti
6,people,2024,True,Best Performance by a Male Actor in a Television Series – Drama,Kieran Culkin
7,people,2024,False,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Natalie Portman
8,people,2024,False,Best Performance by a Male Actor in a Television Series – Drama,Gary Oldman
9,film,2024,False,Best Motion Picture - Animated,Spider-Man: Across the Spider-Verse
10,people,2024,False,Best Original Score - Motion Picture,Mica Levi
11,people,2024,False,Best Original Score - Motion Picture,Daniel Pemberton
12,people,2024,False,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Rachel Weisz
13,people,2024,False,Best Original Score - Motion Picture,Robbie Robertson
14,song,2024,False,Best Original Song - Motion Picture,Addicted to Romance
15,people,2024,False,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Juno Temple
16,people,2024,False,Best Performance by a Female Actor in a Television Series – Drama,Emma Stone
17,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Nicolas Cage
18,people,2024,False,Best Original Score - Motion Picture,Joe Hisaishi
19,people,2024,True,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Ali Wong
20,people,2024,True,Best Original Score - Motion Picture,Ludwig Göransson
21,people,2024,False,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Matt Bomer
22,people,2024,False,Best Original Score - Motion Picture,Jerskin Fendrix
23,people,2024,False,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Sam Claflin
24,film,2024,False,Best Motion Picture - Drama,The Zone of Interest
25,people,2024,False,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Jon Hamm
26,film,2024,False,Best Motion Picture - Drama,Past Lives
27,film,2024,True,Best Motion Picture - Drama,Oppenheimer
28,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Matt Damon
29,people,2024,True,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Paul Giamatti
30,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Joaquin Phoenix
31,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Jeffrey Wright
32,film,2024,True,Best Motion Picture - Animated,The Boy and the Heron
33,song,2024,False,Best Original Song - Motion Picture,Dance the Night
34,people,2024,False,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Elizabeth Olsen
35,people,2024,False,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Brie Larson
36,tv-show,2024,True,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Beef
37,people,2024,False,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Martin Short
38,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Drama,Barry Keoghan
39,tv-show,2024,False,Best Television Series - Musical or Comedy,Ted Lasso
40,people,2024,True,Best Performance by a Male Actor in a Motion Picture – Drama,Cillian Murphy
41,tv-show,2024,False,Best Television Series - Musical or Comedy,Only Murders in the Building
42,tv-show,2024,False,Best Television Series - Musical or Comedy,Jury Duty
43,people,2024,False,Best Performance by a Male Actor in a Motion Picture – Drama,Andrew Scott
44,tv-show,2024,True,Best Television Series - Musical or Comedy,The Bear
45,film,2024,False,Best Motion Picture - Musical or Comedy,Air
46,tv-show,2024,False,Best Television Series - Musical or Comedy,Barry
47,people,2024,False,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Jason Sudeikis
48,song,2024,False,Best Original Song - Motion Picture,Peaches
49,people,2024,True,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Jeremy Allen White
50,tv-show,2024,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",All the Light We Cannot See
