award_year,date_awarded,prize_amount,prize_amount_adjusted,laureate_id,known_name,full_name,sex,portion,sort_order,motivation,category,birth_date,birth_city,birth_country,birth_latitude,birth_longitude,death_date,death_city,death_country,death_latitude,death_longitude,affiliation_name,affiliation_city,affiliation_country,affiliation_latitude,affiliation_longitude,wikipedia_url,is_shared,winners_per_year,winners_per_category,is_repeat_winner,country_winner_rank
1901,11/12/1901,150782,10833458,160.0,Jacobus H. van 't Hoff,Jacobus Henricus van 't Hoff,male,1.0,1.0,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,Chemistry,1852-08-30,Rotterdam,the Netherlands,51.925205,4.48911,3/1/1911,Berlin,Germany,52.522265,13.406852,Berlin University,Berlin,Germany,52.522265,13.406852,https://en.wikipedia.org/wiki/Jacobus_Henricus_van_'t_Hoff,0,6,200,0,1.0
1901,11/14/1901,150782,10833458,569.0,Sully Prudhomme,Sully Prudhomme,male,1.0,1.0,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",Literature,1839-03-16,Paris,France,48.860093,2.355954,9/7/1907,Châtenay,France,48.765278,2.278056,,,,,,https://en.wikipedia.org/wiki/Sully_Prudhomme,0,6,122,0,1.0
1901,12/10/1901,150782,10833458,462.0,Henry Dunant,Jean Henry Dunant,male,0.5,1.0,for his humanitarian efforts to help wounded soldiers and create international understanding,Peace,1828-05-08,Geneva,Switzerland,46.203397,6.145957,10/30/1910,Heiden,Switzerland,47.441111,9.531111,Red Cross,Geneva,Switzerland,,,https://en.wikipedia.org/wiki/Henry_Dunant,1,6,112,0,1.0
1901,12/10/1901,150782,10833458,463.0,Frédéric Passy,Frédéric Passy,male,0.5,2.0,"for his lifelong work for international peace conferences, diplomacy and arbitration",Peace,1822-05-20,Paris,France,48.860093,2.355954,6/12/1912,Paris,France,48.860093,2.355954,,,,,,https://en.wikipedia.org/wiki/Frédéric_Passy,1,6,112,0,2.0
1901,11/12/1901,150782,10833458,1.0,Wilhelm Conrad Röntgen,Wilhelm Conrad Röntgen,male,1.0,1.0,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,Physics,1845-03-27,Remscheid,Germany,51.178742,7.189696,2/10/1923,Munich,Germany,48.134703,11.581995,Munich University,Munich,Germany,48.134703,11.581995,https://en.wikipedia.org/wiki/Wilhelm_Röntgen,0,6,230,0,1.0
1901,10/30/1901,150782,10833458,293.0,Emil von Behring,Emil Adolf von Behring,male,1.0,1.0,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",Physiology or Medicine,1854-03-15,Lawice,Poland,53.58266,19.656639,3/31/1917,Marburg,Germany,50.803393,8.766153,Marburg University,Marburg,Germany,50.803393,8.766153,https://en.wikipedia.org/wiki/Emil_Adolf_von_Behring,0,6,232,0,1.0
1902,11/11/1902,141847,10191492,161.0,Emil Fischer,Hermann Emil Fischer,male,1.0,1.0,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,Chemistry,1852-10-09,Euskirchen,Germany,50.661278,6.787256,7/15/1919,Berlin,Germany,52.522265,13.406852,Berlin University,Berlin,Germany,52.522265,13.406852,https://en.wikipedia.org/wiki/Hermann_Emil_Fischer,0,7,200,0,2.0
1902,11/13/1902,141847,10191492,571.0,Theodor Mommsen,Christian Matthias Theodor Mommsen,male,1.0,1.0,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",Literature,1817-11-30,Garding,Germany,54.329881,8.785967,11/1/1903,Charlottenburg,Germany,52.516602,13.304105,University of Berlin,Berlin,Germany,,,https://en.wikipedia.org/wiki/Theodor_Mommsen,0,7,122,0,3.0
1902,12/10/1902,141847,10191492,464.0,Élie Ducommun,Élie Ducommun,male,0.5,1.0,for his untiring and skilful directorship of the Bern Peace Bureau,Peace,1833-02-19,Geneva,Switzerland,46.203397,6.145957,12/7/1906,Bern,Switzerland,46.948471,7.445402,,,,,,https://en.wikipedia.org/wiki/Élie_Ducommun,1,7,112,0,2.0
1902,12/10/1902,141847,10191492,465.0,Albert Gobat,Charles Albert Gobat,male,0.5,2.0,for his eminently practical administration of the Inter-Parliamentary Union,Peace,1843-05-21,Tramelan,Switzerland,47.223333,7.101389,3/16/1914,Bern,Switzerland,46.948471,7.445402,,,,,,https://en.wikipedia.org/wiki/Charles_Albert_Gobat,1,7,112,0,3.0
1902,11/11/1902,141847,10191492,2.0,Hendrik A. Lorentz,Hendrik Antoon Lorentz,male,0.5,1.0,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Physics,1853-07-18,Arnhem,the Netherlands,51.984257,5.910857,2/4/1928,,the Netherlands,,,Leiden University,Leiden,the Netherlands,52.160787,4.495746,https://en.wikipedia.org/wiki/Hendrik_Lorentz,1,7,230,0,2.0
1902,11/11/1902,141847,10191492,3.0,Pieter Zeeman,Pieter Zeeman,male,0.5,2.0,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Physics,1865-05-25,Zonnemaire,the Netherlands,51.713056,3.951111,10/9/1943,Amsterdam,the Netherlands,52.36942,4.907108,Amsterdam University,Amsterdam,the Netherlands,52.36942,4.907108,https://en.wikipedia.org/wiki/Pieter_Zeeman,1,7,230,0,3.0
1902,10/30/1902,141847,10191492,294.0,Ronald Ross,Ronald Ross,male,1.0,1.0,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",Physiology or Medicine,1857-05-13,Almora,India,29.593431,79.654274,9/16/1932,Putney Heath,United Kingdom,,,University College,Liverpool,United Kingdom,53.409188,-2.981257,https://en.wikipedia.org/wiki/Ronald_Ross,0,7,232,0,1.0
1903,11/12/1903,141358,9857642,4.0,Henri Becquerel,Antoine Henri Becquerel,male,0.5,1.0,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,Physics,1852-12-15,Paris,France,48.860093,2.355954,8/25/1908,,France,,,École Polytechnique,Paris,France,48.860093,2.355954,https://en.wikipedia.org/wiki/Henri_Becquerel,1,7,230,0,3.0
1903,11/19/1903,141358,9857642,572.0,Bjørnstjerne Bjørnson,Bjørnstjerne Martinus Bjørnson,male,1.0,1.0,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",Literature,1832-12-08,Kvikne,Norway,62.562222,10.334722,4/26/1910,Paris,France,48.860093,2.355954,,,,,,https://en.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,0,7,122,0,1.0
1903,12/10/1903,141358,9857642,466.0,Randal Cremer,William Randal Cremer,male,1.0,1.0,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,Peace,1828-03-18,Fareham,United Kingdom,50.85,-1.18,7/22/1908,London,United Kingdom,51.510235,-0.120852,,,,,,https://en.wikipedia.org/wiki/Randal_Cremer,0,7,112,0,1.0
1903,10/15/1903,141358,9857642,295.0,Niels Ryberg Finsen,Niels Ryberg Finsen,male,1.0,1.0,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",Physiology or Medicine,1860-12-15,Thorshavn,Faroe Islands (Denmark),62.010863,-6.774051,9/24/1904,Copenhagen,Denmark,55.678127,12.572532,Finsen Medical Light Institute,Copenhagen,Denmark,55.678127,12.572532,https://en.wikipedia.org/wiki/Niels_Ryberg_Finsen,0,7,232,0,1.0
1903,11/12/1903,141358,9857642,5.0,Pierre Curie,Pierre Curie,male,0.25,2.0,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,Physics,1859-05-15,Paris,France,48.860093,2.355954,4/19/1906,Paris,France,48.860093,2.355954,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,48.860093,2.355954,https://en.wikipedia.org/wiki/Pierre_Curie,1,7,230,0,4.0
1903,11/12/1903,141358,9857642,6.0,Marie Curie,"Marie Curie, née Skłodowska",female,0.25,3.0,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,Physics,1867-11-07,Warsaw,Poland,52.230046,21.011995,7/4/1934,Sallanches,France,45.936661,6.630557,University of Paris,Paris,France,,,https://en.wikipedia.org/wiki/Marie_Curie,1,7,230,0,2.0
1903,11/12/1903,141358,9857642,162.0,Svante Arrhenius,Svante August Arrhenius,male,1.0,1.0,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,Chemistry,1859-02-19,Vik,Sweden,,,10/2/1927,Stockholm,Sweden,59.325371,18.070794,Stockholm University,Stockholm,Sweden,59.325371,18.070794,https://en.wikipedia.org/wiki/Svante_Arrhenius,0,7,200,0,1.0
1904,11/8/1904,140859,9822844,163.0,Sir William Ramsay,Sir William Ramsay,male,1.0,1.0,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",Chemistry,1852-10-02,Glasgow,Scotland,55.861111,-4.25,7/23/1916,High Wycombe,United Kingdom,51.628611,-0.748229,University College,London,United Kingdom,51.510235,-0.120852,https://en.wikipedia.org/wiki/William_Ramsay,0,5,200,0,1.0
1904,11/17/1904,140859,9822844,573.0,Frédéric Mistral,Frédéric Mistral,male,0.5,1.0,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",Literature,1830-09-08,Maillane,France,43.832523,4.782511,3/25/1914,Maillane,France,43.832523,4.782511,,,,,,https://en.wikipedia.org/wiki/Frédéric_Mistral,1,5,122,0,5.0
1904,11/17/1904,140859,9822844,574.0,José Echegaray,José Echegaray y Eizaguirre,male,0.5,2.0,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",Literature,1832-04-19,Madrid,Spain,40.423203,-3.693965,9/4/1916,Madrid,Spain,40.423203,-3.693965,,,,,,https://en.wikipedia.org/wiki/José_Echegaray,1,5,122,0,1.0
